allocation_id,site_id,org_id,resource_type,allocation_date,quantity,unit_value,total_value
700274,5005,222,Food Packages,10/11/2025,308,5352.62,1648606.96
700275,5005,224,Food Packages,9/11/2025,112,3419.7,383006.4
700276,5005,217,Clothing,30/10/2025,282,3506.6,988861.2
700277,5005,220,Tents,5/11/2025,5,5325.05,26625.25
700278,5005,219,Water Bottles,28/10/2025,277,1913.58,530061.66
700279,5005,208,Clothing,3/11/2025,250,1656.41,414102.5
700280,5005,222,Clothing,10/11/2025,181,1842.87,333559.47
700281,5005,208,Water Bottles,7/11/2025,211,1093.56,230741.16
700282,5005,218,Water Bottles,7/11/2025,267,1343.83,358802.61
700283,5005,209,Clothing,7/11/2025,137,1991.05,272773.85
700284,5005,205,Water Bottles,8/11/2025,348,1898.48,660671.04
700285,5005,203,Clothing,29/10/2025,336,3847.24,1292672.64
700286,5005,212,Roofing Materials,6/11/2025,50,8711.46,435573
700287,5005,210,Food Packages,27/10/2025,119,2948.34,350852.46
700288,5005,215,Water Bottles,8/11/2025,266,1640.64,436410.24
700289,5005,218,Tents,6/11/2025,9,6233,56097
700290,5005,225,Clothing,4/11/2025,281,1972.85,554370.85
700291,5005,208,Food Packages,9/11/2025,214,5716.58,1223348.12
700292,5005,219,Roofing Materials,27/10/2025,54,9227.07,498261.78
700293,5005,206,Tents,29/10/2025,8,4408.08,35264.64
700294,5005,203,Water Bottles,7/11/2025,228,1908.49,435135.72
700295,5005,224,Tents,4/11/2025,6,3300.48,19802.88
700296,5005,217,Water Bottles,7/11/2025,204,1843.34,376041.36
700297,5005,203,Food Packages,31/10/2025,316,5799.6,1832673.6
700298,5005,224,Roofing Materials,5/11/2025,24,8185.14,196443.36
700299,5005,210,Roofing Materials,30/10/2025,68,8680.63,590282.84
700300,5005,202,Roofing Materials,3/11/2025,79,5969.95,471626.05
700301,5005,207,Food Packages,31/10/2025,283,4455.88,1261014.04
700302,5005,221,Roofing Materials,1/11/2025,57,6866.68,391400.76
700303,5005,214,Tents,10/11/2025,10,4378.79,43787.9
700304,5005,220,Water Bottles,11/11/2025,341,1126.5,384136.5
700305,5005,219,Clothing,30/10/2025,262,2532.93,663627.66
700306,5005,214,Tents,11/11/2025,8,7536.24,60289.92
700307,5005,209,Tents,28/10/2025,12,4898.08,58776.96
700308,5005,202,Water Bottles,9/11/2025,272,661.42,179906.24
700309,5005,209,Tents,5/11/2025,8,5797.03,46376.24
700310,5005,224,Water Bottles,1/11/2025,292,538.65,157285.8
700311,5005,223,Food Packages,29/10/2025,224,3672.58,822657.92
700312,5005,223,Roofing Materials,4/11/2025,33,6116.13,201832.29
700313,5005,225,Food Packages,28/10/2025,153,5126.46,784348.38
700314,5005,213,Clothing,2/11/2025,345,2565.3,885028.5
700315,5005,217,Tents,27/10/2025,12,3449.58,41394.96
700316,5005,220,Clothing,8/11/2025,136,2868.54,390121.44
700317,5005,204,Food Packages,1/11/2025,323,4566.02,1474824.46
700318,5005,204,Roofing Materials,2/11/2025,70,5250.54,367537.8
700319,5005,204,Tents,7/11/2025,6,5523.1,33138.6
700320,5006,220,Generator,28/10/2025,6,15405.01,92430.06
700321,5006,218,Cleaning Supplies,27/10/2025,312,4061.45,1267172.4
700322,5006,213,Water Bottles,7/11/2025,882,1363.04,1202201.28
700323,5006,208,Medical Supplies,8/11/2025,432,12268.36,5299931.52
700324,5006,212,Medical Supplies,7/11/2025,387,9387.18,3632838.66
700325,5006,214,Generator,8/11/2025,9,25164.76,226482.84
700326,5006,224,Cleaning Supplies,8/11/2025,195,3421.93,667276.35
700327,5006,216,Water Bottles,31/10/2025,885,1526.94,1351341.9
700328,5006,217,Medical Supplies,1/11/2025,249,9758.38,2429836.62
700329,5006,222,Roofing Materials,6/11/2025,117,5922.39,692919.63
700330,5006,223,Water Bottles,2/11/2025,1014,1836.98,1862697.72
700331,5006,220,Roofing Materials,29/10/2025,156,7999.67,1247948.52
700332,5006,213,Roofing Materials,7/11/2025,228,4864.36,1109074.08
700333,5006,209,Cleaning Supplies,3/11/2025,336,1266.78,425638.08
700334,5006,220,Medical Supplies,5/11/2025,393,21768.72,8555106.96
700335,5006,211,Water Bottles,31/10/2025,792,1553.16,1230102.72
700336,5006,211,Cleaning Supplies,1/11/2025,348,2382.5,829110
700337,5006,203,Cleaning Supplies,8/11/2025,222,2549.1,565900.2
700338,5006,222,Medical Supplies,28/10/2025,240,12462,2990880
700339,5006,222,Generator,30/10/2025,3,18709.01,56127.03
700340,5006,216,Water Bottles,6/11/2025,858,1204.87,1033778.46
700341,5006,204,Generator,5/11/2025,3,25566.4,76699.2
700342,5006,205,Medical Supplies,5/11/2025,216,21360.73,4613917.68
700343,5006,207,Roofing Materials,7/11/2025,219,7529.2,1648894.8
700344,5006,202,Roofing Materials,3/11/2025,123,5317.03,653994.69
700345,5006,217,Medical Supplies,5/11/2025,252,22022.51,5549672.52
700346,5006,210,Cleaning Supplies,8/11/2025,324,4809.66,1558329.84
700347,5006,208,Roofing Materials,29/10/2025,201,8199.2,1648039.2
700348,5006,216,Medical Supplies,4/11/2025,267,10158.06,2712202.02
700349,5006,213,Water Bottles,9/11/2025,381,1116.18,425264.58
700350,5006,202,Water Bottles,5/11/2025,705,754.26,531753.3
700351,5006,215,Cleaning Supplies,8/11/2025,252,4497.23,1133301.96
700352,5006,222,Water Bottles,28/10/2025,525,1706.25,895781.25
700353,5006,216,Roofing Materials,9/11/2025,126,8574.31,1080363.06
700354,5006,209,Medical Supplies,1/11/2025,186,20424.95,3799040.7
700355,5006,212,Generator,3/11/2025,9,27829.38,250464.42
700356,5006,213,Roofing Materials,27/10/2025,126,11264.12,1419279.12
700357,5006,211,Generator,3/11/2025,9,15564.11,140076.99
700358,5006,211,Generator,4/11/2025,6,24618.31,147709.86
700359,5006,225,Roofing Materials,8/11/2025,75,8631.82,647386.5
700360,5006,215,Cleaning Supplies,3/11/2025,114,2331.12,265747.68
700361,5006,204,Generator,8/11/2025,6,20236.39,121418.34
700362,5006,213,Cleaning Supplies,31/10/2025,309,3721.92,1150073.28
700363,5006,205,Medical Supplies,28/10/2025,177,10222.19,1809327.63
700364,5006,205,Water Bottles,1/11/2025,474,1737.82,823726.68
700365,5006,204,Water Bottles,27/10/2025,948,1399.95,1327152.6
700366,5006,204,Medical Supplies,1/11/2025,189,22506.6,4253747.4
700367,5006,214,Water Bottles,5/11/2025,825,1918.62,1582861.5
700368,5006,224,Cleaning Supplies,29/10/2025,96,2901.9,278582.4
700369,5006,204,Roofing Materials,4/11/2025,234,9368.1,2192135.4
700370,5006,217,Cleaning Supplies,3/11/2025,156,1283.66,200250.96
700371,5006,202,Roofing Materials,9/11/2025,213,11039.32,2351375.16
700372,5006,206,Water Bottles,1/11/2025,687,1133.29,778570.23
700373,5006,217,Generator,2/11/2025,6,26967.62,161805.72
700374,5006,210,Medical Supplies,28/10/2025,144,16720.65,2407773.6
700375,5006,204,Cleaning Supplies,8/11/2025,333,1938,645354
700376,5006,217,Roofing Materials,3/11/2025,111,4253.78,472169.58
700377,5006,207,Generator,5/11/2025,9,25087.02,225783.18
700378,5006,219,Water Bottles,1/11/2025,681,705.53,480465.93
700379,5006,222,Water Bottles,30/10/2025,675,590.34,398479.5
700380,5006,222,Water Bottles,3/11/2025,654,1731.88,1132649.52
700381,5007,222,Generator,11/11/2025,1,33863.42,33863.42
700382,5007,216,Water Bottles,28/10/2025,109,1116.81,121732.29
700383,5007,201,Generator,8/11/2025,3,27703.54,83110.62
700384,5007,206,Roofing Materials,5/11/2025,54,10466.15,565172.1
700385,5007,214,Cleaning Supplies,11/11/2025,35,4257.54,149013.9
700386,5007,224,Medical Supplies,11/11/2025,54,20115.32,1086227.28
700387,5007,201,Water Bottles,5/11/2025,124,720.74,89371.76
700388,5007,224,Medical Supplies,30/10/2025,120,17696.96,2123635.2
700389,5007,220,Roofing Materials,8/11/2025,37,4436.1,164135.7
700390,5007,205,Water Bottles,5/11/2025,279,1744.08,486598.32
700391,5007,224,Water Bottles,6/11/2025,148,1434.82,212353.36
700392,5007,210,Generator,3/11/2025,1,24512.05,24512.05
700393,5007,203,Cleaning Supplies,30/10/2025,55,4591.82,252550.1
700394,5007,204,Generator,5/11/2025,1,36388.78,36388.78
700395,5007,214,Water Bottles,28/10/2025,143,991.76,141821.68
700396,5007,206,Cleaning Supplies,6/11/2025,82,1727.27,141636.14
700397,5007,217,Generator,31/10/2025,1,28305.57,28305.57
700398,5007,210,Generator,27/10/2025,1,18102.68,18102.68
700399,5007,212,Medical Supplies,5/11/2025,137,13582.55,1860809.35
700400,5007,216,Cleaning Supplies,8/11/2025,105,4220.47,443149.35
700401,5007,206,Roofing Materials,7/11/2025,41,11779.69,482967.29
700402,5007,207,Medical Supplies,6/11/2025,57,9804.73,558869.61
700403,5007,202,Medical Supplies,30/10/2025,143,10005.53,1430790.79
700404,5007,222,Generator,9/11/2025,2,32521.64,65043.28
700405,5007,204,Generator,29/10/2025,2,30259.08,60518.16
700406,5007,222,Roofing Materials,29/10/2025,48,10885.34,522496.32
700407,5007,207,Generator,5/11/2025,3,20044.87,60134.61
700408,5007,207,Cleaning Supplies,11/11/2025,44,1903.16,83739.04
700409,5007,208,Roofing Materials,2/11/2025,78,10533.24,821592.72
700410,5007,212,Roofing Materials,1/11/2025,71,6907.23,490413.33
700411,5007,201,Medical Supplies,3/11/2025,140,11481.64,1607429.6
