site_id,community_id,site_name,site_type,is_infrastructure,damage_category,estimated_repair_cost,power_restored
5112,102,Westmoreland Regional Hospital,Hospital,0,3,62639.45,1
5113,114,Clarks Town Police Station,Police Station,0,5,491177.61,0
5114,135,Half-Way-Tree Primary School,School,0,3,58807.99,0
5115,115,May Pen Main Road,Road,1,3,65389.54,0
5116,142,Yallahs Main Bridge,Bridge,1,3,47986.36,1
5117,126,Old Harbour Police Station,Police Station,0,4,128020.61,0
5118,122,Ocho Rios Regional Hospital,Hospital,0,2,33014.04,1
5119,131,Oracabessa High School,School,0,4,120524.82,0
5120,139,Buff Bay Fire Station,Fire Station,0,2,29316.5,0
5121,140,Norwich Parochial Road,Road,1,3,64903.48,0
5122,124,Brown's Town Reservoir,Water Plant,1,4,98738.67,1
5123,114,Clarks Town Parochial Road,Road,1,4,90650.67,1
5124,136,Bull Bay High School,School,0,1,8251.9,0
5125,123,Discovery Bay Police Station,Police Station,0,2,16469.93,1
5126,130,St.Mary Regional Hospital,Hospital,0,3,43705,1
5127,126,Old Harbour Police Station,Police Station,0,4,128912.16,1
5128,111,Samuels Bypass,Road,1,5,453894.95,1
5129,131,Oracabessa Main Bridge,Bridge,1,2,17238.39,1
5130,130,Annotto Bay Primary School,School,0,3,39273.85,0
5131,101,Savanna-la-Mar Pentecostal Church,Church,0,4,81867.46,0
5132,133,Kingston All-Age School,School,0,1,14651.19,1
5133,134,Port Royal Highway,Road,1,1,9547.4,1
5134,125,Spanish Town Police Station,Police Station,0,3,59663.83,0
5135,129,Port Maria Police Station,Police Station,0,4,105500.02,0
5136,122,Ocho Rios High School,School,0,3,64334.04,0
5137,135,Half-Way-Tree Health Centre,Clinic,0,2,27356.94,1
5138,129,Port Maria High School,School,0,3,58677.97,0
5139,140,Norwich Pentecostal Church,Church,0,1,8938.64,1
5140,141,Morant Bay Pentecostal Church,Church,0,3,49241.78,0
5141,101,Savanna-la-Mar High School,School,0,5,264461.61,0
5142,140,Norwich Church of God,Church,0,1,11675.93,0
5143,103,Little London Hospital,Hospital,0,4,70460.69,0
5144,112,Falmouth Clinic,Clinic,0,4,101084.65,0
5145,128,Portmore Gully Bridge,Bridge,1,2,22465.04,1
5146,120,Alligator Pond Primary School,School,0,2,27389.81,0
5147,116,Chapelton Bypass,Road,1,3,35897.47,0
5148,119,Manchester Health Centre,Clinic,0,3,53676.09,1
5149,108,Maggoty Highway,Road,1,3,68443.33,0
5150,120,Alligator Pond All-Age School,School,0,2,27949.49,1
5151,122,Ocho Rios Health Centre,Clinic,0,4,78113.67,1
5152,132,Highgate New Testament Church,Church,0,2,20697.46,1
5153,131,Oracabessa Type 3 Hospital,Hospital,0,2,27206.68,1
5154,128,Portmore High School,School,0,3,58839.12,0
5155,126,Old Harbour Bypass,Road,1,4,90525.02,0
5156,137,Gordon Town All-Age School,School,0,1,9835.46,0
5157,123,Discovery Bay Power Station,Power Station,1,3,63671.61,1
5158,126,Old Harbour Reservoir,Water Plant,1,3,49386,1
5159,107,St.Elizabeth Highway,Road,1,4,91984.48,0
5160,117,Rocky Point Anglican Church,Church,0,3,38343.74,1
5161,134,Port Royal River Bridge,Bridge,1,1,10866.08,1
5162,119,Manchester All-Age School,School,0,3,57469,1
5163,121,St.Ann's Bay Main Road,Road,1,3,55806.67,0
5164,107,Lacovia Bypass,Road,1,4,104255.97,0
5165,113,Duncans Police Station,Police Station,0,3,39493.8,0
5166,103,Little London Baptist Church,Church,0,5,462966.81,0
5167,122,Ocho Rios Health Centre,Clinic,0,3,42932.97,0
5168,130,Annotto Bay River Bridge,Bridge,1,2,16352.25,0
5169,124,Brown's Town Police Station,Police Station,0,2,28017.55,1
5170,108,Maggoty Clinic,Clinic,0,4,114622.67,0
5171,119,Manchester River Bridge,Bridge,1,3,54680.39,1
5172,118,Mandeville Regional Hospital,Hospital,0,2,19018.67,0
5173,118,Mandeville Police Station,Police Station,0,3,58271.91,1
5174,109,Montego Bay Pentecostal Church,Church,0,4,149398.68,0
5175,130,Annotto Bay Pentecostal Church,Church,0,3,53233.53,1
5176,117,Rocky Point Highway,Road,1,2,17554.27,1
5177,137,Gordon Town Health Centre,Clinic,0,2,21062.57,1
5178,111,Samuels Main Road,Road,1,4,101758.52,0
5179,126,Old Harbour Primary School,School,0,4,109757.08,1
5180,137,Gordon Town Substation,Power Station,1,1,13514.25,1
5181,127,Linstead High School,School,0,3,65381.98,1
5182,135,Half-Way-Tree Police Station,Police Station,0,1,8046.79,1
5183,117,Rocky Point Clinic,Clinic,0,4,135798.45,0
5184,118,Mandeville Pentecostal Church,Church,0,4,118500.24,1
5185,107,Lacovia Baptist Church,Church,0,4,81709.92,0
5186,108,Maggoty All-Age School,School,0,5,342335.34,0
5187,129,Port Maria Clinic,Clinic,0,4,110491.35,1
5188,103,Little London Health Centre,Clinic,0,4,119567.04,0
5189,104,Hanover Hospital,Hospital,0,4,106784.03,0
5190,136,Bull Bay Pump Station,Water Plant,1,1,14948.66,0
5191,143,Bath Police Station,Police Station,0,1,6422.49,1
5192,126,Old Harbour Water Treatment Plant,Water Plant,1,4,135117.62,0
5193,124,Brown's Town Type 3 Hospital,Hospital,0,4,104086.67,1
5194,138,Port Antonio Clinic,Clinic,0,2,23995.69,1
5195,133,Kingston Clinic,Clinic,0,1,13275.38,1
5196,138,Port Antonio Highway,Road,1,1,9813.44,0
5197,134,Port Royal Reservoir,Water Plant,1,2,19304.04,0
5198,126,St.Catherine Pump Station,Water Plant,1,4,78778.9,0
5199,136,Bull Bay Parochial Road,Road,1,3,38432.89,0
5200,123,Discovery Bay Anglican Church,Church,0,3,51660.63,1
5201,136,Bull Bay Primary School,School,0,2,30700.33,1
5202,103,Little London High School,School,0,3,50316.11,1
5203,109,Montego Bay Police Station,Police Station,0,3,51151.71,1
5204,124,St.Ann Reservoir,Water Plant,1,4,75332.16,0
5205,106,Santa Cruz All-Age School,School,0,5,164585.52,0
5206,118,Mandeville High School,School,0,2,29326.47,1
5207,120,Alligator Pond Hospital,Hospital,0,2,29750.17,0
5208,130,St.Mary Church of God,Church,0,3,41481.84,1
5209,118,Mandeville Police Station,Police Station,0,2,30287.45,1
5210,114,Clarks Town Water Treatment Plant,Water Plant,1,3,61922.81,0
5211,131,Oracabessa Parochial Road,Road,1,3,56525.45,0
5212,136,Bull Bay High School,School,0,2,15839.02,0
5213,142,Yallahs Main Road,Road,1,2,27037.63,0
5214,124,Brown's Town Water Treatment Plant,Water Plant,1,2,17561.91,1
5215,103,Little London Parochial Road,Road,1,5,480076.54,0
5216,115,May Pen Clinic,Clinic,0,2,17430.03,1
5217,120,Alligator Pond Health Centre,Clinic,0,3,65147.95,1
5218,135,Half-Way-Tree New Testament Church,Church,0,2,30100.84,1
5219,114,Clarks Town Reservoir,Water Plant,1,5,494634.41,1
5220,143,Bath Anglican Church,Church,0,3,40768.52,1
5221,111,Samuels Pentecostal Church,Church,0,5,406480.54,0
5222,115,May Pen Gully Bridge,Bridge,1,3,52792.62,0
5223,102,Negril River Bridge,Bridge,1,3,57270.2,1
5224,105,Black River Anglican Church,Church,0,4,128116.94,1
5225,127,St.Catherine Fire Station,Fire Station,0,2,23029.89,1
5226,110,Rose Hall High School,School,0,4,98430.77,0
5227,127,Linstead High School,School,0,4,72824.91,0
5228,134,Port Royal Pump Station,Water Plant,1,1,7024.81,1
5229,132,Highgate Anglican Church,Church,0,4,99464.76,0
5230,143,Bath Clinic,Clinic,0,2,32723.92,1
5231,135,Half-Way-Tree River Bridge,Bridge,1,2,15064.37,0
5232,103,Little London Main Road,Road,1,4,121386.04,0
5233,111,St.James Parochial Road,Road,1,4,118279.01,0
5234,128,St.Catherine All-Age School,School,0,3,63876.73,1
5235,136,Bull Bay Bypass,Road,1,1,5585.51,1
5236,135,Half-Way-Tree Bypass,Road,1,2,23803.98,1
5237,124,Brown's Town Highway,Road,1,2,19412.24,1
5238,144,Welchtown All-Age School,School,0,1,14331.13,0
5239,140,Norwich River Bridge,Bridge,1,2,23198.1,0
5240,110,Rose Hall Bypass,Road,1,3,47678.24,0
5241,114,Clarks Town Fire Station,Fire Station,0,5,254553.95,0
5242,118,Mandeville Church of God,Church,0,4,139818.42,0
5243,107,Lacovia Highway,Road,1,5,196717.99,0
5244,121,St.Ann's Bay Police Station,Police Station,0,3,52376.14,1
5245,115,May Pen High School,School,0,2,18178.16,1
5246,109,Montego Bay Church of God,Church,0,5,248765.48,0
5247,109,Montego Bay Police Station,Police Station,0,4,89963.7,0
5248,112,Falmouth Police Station,Police Station,0,5,320649.92,0
5249,107,Lacovia River Bridge,Bridge,1,5,336347.24,0
5250,122,Ocho Rios Health Centre,Clinic,0,4,71745.87,0
5251,139,Buff Bay Pump Station,Water Plant,1,1,14633.94,1
5252,130,St.Mary Main Road,Road,1,3,69345.4,1
5253,123,St.Ann All-Age School,School,0,4,147760.43,1
5254,112,Falmouth Gully Bridge,Bridge,1,4,88025.35,0
5255,108,Maggoty Primary School,School,0,3,53318.68,1
5256,112,Falmouth Church of God,Church,0,4,113483.06,0
5257,123,Discovery Bay Anglican Church,Church,0,4,145655.85,0
5258,144,Welchtown Gully Bridge,Bridge,1,2,24245.91,0
5259,129,Port Maria Fire Station,Fire Station,0,3,63224.13,1
5260,112,Falmouth Police Station,Police Station,0,3,44051.73,0
5261,118,Mandeville Pentecostal Church,Church,0,3,42170.84,1
5262,142,Yallahs High School,School,0,3,50793.38,0
5263,128,St.Catherine Gully Bridge,Bridge,1,2,16304.09,0
5264,143,Bath Bypass,Road,1,2,17109.47,1
5265,139,Portland High School,School,0,3,42131.83,1
5266,112,Falmouth Highway,Road,1,5,288589.67,0
5267,109,Montego Bay Gully Bridge,Bridge,1,5,427641.47,0
5268,124,Brown's Town Pentecostal Church,Church,0,3,66715.01,0
5269,122,Ocho Rios Police Station,Police Station,0,3,41447.87,1
5270,104,Lucea Primary School,School,0,4,76677.13,0
5271,120,Alligator Pond High School,School,0,4,103420.88,0
5272,117,Rocky Point All-Age School,School,0,4,140554.22,1
5273,117,Rocky Point Reservoir,Water Plant,1,4,112191.97,0
5274,126,Old Harbour All-Age School,School,0,4,84992.96,0
5275,123,Discovery Bay Primary School,School,0,3,59858.5,1
5276,130,Annotto Bay Pentecostal Church,Church,0,3,47522.94,1
5277,135,Half-Way-Tree Main Bridge,Bridge,1,2,18475.23,1
5278,115,May Pen Primary School,School,0,3,47177.95,1
5279,135,Half-Way-Tree Anglican Church,Church,0,2,27418.57,1
5280,123,Discovery Bay Parochial Road,Road,1,3,39419.27,0
5281,122,Ocho Rios Water Treatment Plant,Water Plant,1,4,138458.98,1
5282,108,Maggoty Main Road,Road,1,4,125532.05,0
5283,128,Portmore Gully Bridge,Bridge,1,3,36161.63,1
5284,111,Samuels Highway,Road,1,3,61812.27,1
5285,117,Rocky Point Baptist Church,Church,0,3,58475.63,0
5286,115,May Pen Pentecostal Church,Church,0,2,24207.17,1
5287,143,Bath Church of God,Church,0,2,17214.41,0
5288,125,Spanish Town Primary School,School,0,3,65041.96,1
5289,110,Rose Hall Clinic,Clinic,0,4,147024.83,0
5290,113,Duncans New Testament Church,Church,0,4,139820.31,0
5291,138,Port Antonio Anglican Church,Church,0,1,12036.86,0
5292,139,Buff Bay Fire Station,Fire Station,0,1,9687.68,1
5293,127,Linstead Parochial Road,Road,1,4,138181.11,0
5294,119,Christiana Clinic,Clinic,0,3,41486.56,1
5295,137,St.Andrew Primary School,School,0,1,12945.78,1
5296,136,Bull Bay All-Age School,School,0,2,16272.82,0
5297,101,Savanna-la-Mar River Bridge,Bridge,1,5,457642.62,0
5298,133,Kingston Anglican Church,Church,0,1,10717.72,1
5299,143,Bath Police Station,Police Station,0,2,27038.47,0
5300,118,Mandeville Parochial Road,Road,1,2,26833.94,1
5301,126,St.Catherine Main Bridge,Bridge,1,2,22690.23,0
5302,118,Manchester All-Age School,School,0,3,52719.31,0
5303,133,Kingston Type 3 Hospital,Hospital,0,2,22237.06,1
5304,138,Port Antonio Bypass,Road,1,2,34430.65,0
5305,144,St.Thomas Primary School,School,0,2,20613.66,1
5306,110,Rose Hall Highway,Road,1,5,268601.23,0
5307,112,Trelawny Fire Station,Fire Station,0,4,93479.11,0
5308,106,Santa Cruz Clinic,Clinic,0,4,79107.07,0
5309,140,Portland Bypass,Road,1,2,32484.45,0
5310,137,Gordon Town Main Bridge,Bridge,1,1,6314.89,0
5311,107,Lacovia Power Station,Power Station,1,4,94749.82,0
5312,135,Half-Way-Tree Police Station,Police Station,0,1,14550.61,1
5313,110,Rose Hall Church of God,Church,0,3,56132.84,0
5314,133,Kingston Police Station,Police Station,0,3,47916.86,0
5315,106,St.Elizabeth Highway,Road,1,5,479604,0
5316,107,Lacovia Clinic,Clinic,0,5,153545.91,0
5317,114,Clarks Town Church of God,Church,0,4,139895.89,0
5318,137,Gordon Town Main Road,Road,1,1,6205.58,1
5319,111,Samuels Health Centre,Clinic,0,3,45326.42,0
5320,131,Oracabessa Main Road,Road,1,2,17460.07,0
5321,140,Norwich Hospital,Hospital,0,2,31912.09,1
5322,108,Maggoty All-Age School,School,0,5,429433.12,0
5323,119,Christiana Church of God,Church,0,3,67082.23,0
5324,112,Falmouth Police Station,Police Station,0,4,126446.87,0
5325,121,St.Ann Highway,Road,1,4,81407.53,0
5326,106,Santa Cruz Baptist Church,Church,0,5,372915.81,0
5327,101,Savanna-la-Mar All-Age School,School,0,4,94897.4,0
5328,112,Falmouth Main Road,Road,1,5,308900.57,0
5329,106,Santa Cruz Power Station,Power Station,1,4,72202.94,0
5330,105,Black River High School,School,0,4,72476.46,0
5331,107,Lacovia Police Station,Police Station,0,4,106681.84,0
5332,122,Ocho Rios River Bridge,Bridge,1,3,68457.16,1
5333,125,St.Catherine Regional Hospital,Hospital,0,2,31534.15,1
5334,129,Port Maria Main Road,Road,1,2,22710.24,0
5335,116,Chapelton Primary School,School,0,2,25834.1,1
5336,111,Samuels Bypass,Road,1,3,41811.83,0
5337,103,Little London Reservoir,Water Plant,1,5,353163.66,0
5338,142,St.Thomas Police Station,Police Station,0,2,23880.87,0
5339,139,Buff Bay New Testament Church,Church,0,2,32606.3,1
5340,111,Samuels Highway,Road,1,3,36381.08,0
5341,126,St.Catherine Primary School,School,0,3,66830.91,0
5342,111,Samuels Health Centre,Clinic,0,4,79985.67,0
5343,109,St.James Church of God,Church,0,3,68041.47,1
5344,132,Highgate Police Station,Police Station,0,3,65224.16,0
5345,141,Morant Bay Gully Bridge,Bridge,1,1,7857.84,1
5346,142,Yallahs River Bridge,Bridge,1,2,26545.58,1
5347,105,Black River Bypass,Road,1,5,220166.08,0
5348,120,Alligator Pond Parochial Road,Road,1,2,32079.24,0
5349,129,Port Maria Baptist Church,Church,0,3,50691.17,0
5350,133,Kingston All-Age School,School,0,2,15382.32,1
5351,102,Negril Police Station,Police Station,0,4,98697.24,0
5352,116,Chapelton Anglican Church,Church,0,4,70709.06,0
5353,105,St.Elizabeth Police Station,Police Station,0,5,408254.33,0
5354,120,Manchester Fire Station,Fire Station,0,2,29809.52,0
5355,103,Little London Parochial Road,Road,1,3,64607.25,1
5356,139,Buff Bay Fire Station,Fire Station,0,2,16552.99,1
5357,123,St.Ann Reservoir,Water Plant,1,2,17219.96,1
5358,116,Chapelton Police Station,Police Station,0,3,45484.8,1
5359,113,Trelawny Baptist Church,Church,0,5,291005.65,1
5360,116,Chapelton High School,School,0,3,44835.16,1
5361,113,Duncans Police Station,Police Station,0,4,108114.96,0
5362,105,St.Elizabeth High School,School,0,5,376736.11,0
5363,108,Maggoty Police Station,Police Station,0,4,105947.98,0
5364,119,Christiana Water Treatment Plant,Water Plant,1,3,58891.6,0
5365,104,Hanover Bypass,Road,1,5,200006.59,0
5366,138,Port Antonio All-Age School,School,0,1,12753.46,1
5367,134,Port Royal Parochial Road,Road,1,3,61202.58,0
5368,102,Negril Police Station,Police Station,0,5,171941.37,0
5369,141,Morant Bay Main Road,Road,1,1,13393.38,1
5370,128,Portmore Bypass,Road,1,2,22204.68,0
5371,121,St.Ann's Bay New Testament Church,Church,0,2,32837.44,0
5372,103,Little London Primary School,School,0,3,59045.67,0
5373,102,Negril Church of God,Church,0,3,35152.71,1
5374,134,Port Royal Regional Hospital,Hospital,0,2,34320.95,0
5375,139,Buff Bay Fire Station,Fire Station,0,1,7980.52,1
5376,115,May Pen High School,School,0,3,52514.04,0
5377,122,Ocho Rios Police Station,Police Station,0,4,74188.4,1
5378,119,Manchester Primary School,School,0,2,31443.6,1
5379,120,Alligator Pond Parochial Road,Road,1,4,124225.06,0
5380,125,Spanish Town High School,School,0,2,17732.02,1
5381,139,Buff Bay Bypass,Road,1,1,11448.33,1
5382,128,Portmore Police Station,Police Station,0,3,37033.22,0
5383,106,Santa Cruz Primary School,School,0,5,268070.94,0
5384,118,Mandeville River Bridge,Bridge,1,4,109429.17,0
5385,109,Montego Bay Health Centre,Clinic,0,5,487224.73,0
5386,108,Maggoty Fire Station,Fire Station,0,5,420522.52,0
5387,128,Portmore Highway,Road,1,2,34520.28,0
5388,123,Discovery Bay Gully Bridge,Bridge,1,2,17404.14,0
5389,122,St.Ann Fire Station,Fire Station,0,3,47183.35,1
5390,104,Lucea Baptist Church,Church,0,5,158258.24,0
5391,134,Port Royal Parochial Road,Road,1,3,62313.16,1
5392,124,Brown's Town Substation,Power Station,1,3,42988.24,0
5393,104,Lucea High School,School,0,4,146623.18,0
5394,103,Little London Clinic,Clinic,0,5,176461.76,0
5395,119,Manchester Baptist Church,Church,0,3,41854.16,1
5396,124,Brown's Town Police Station,Police Station,0,4,134889.9,0
5397,116,Clarendon Pentecostal Church,Church,0,4,97615.38,1
5398,119,Manchester Health Centre,Clinic,0,3,66154.94,1
5399,124,Brown's Town Clinic,Clinic,0,3,57082.26,0
5400,143,Bath Baptist Church,Church,0,2,25593.19,0
5401,119,Christiana Type 3 Hospital,Hospital,0,2,20494.08,0
5402,118,Mandeville Health Centre,Clinic,0,4,105643.33,0
5403,109,Montego Bay Main Road,Road,1,4,133451.43,0
5404,121,St.Ann's Bay Clinic,Clinic,0,4,146114.38,0
5405,116,Chapelton Substation,Power Station,1,3,54933.89,0
5406,137,Gordon Town Anglican Church,Church,0,3,56782.01,0
5407,127,St.Catherine Highway,Road,1,3,68029.56,1
5408,109,Montego Bay Water Treatment Plant,Water Plant,1,3,40658.5,1
5409,111,Samuels Primary School,School,0,5,347779.86,0
5410,107,Lacovia Clinic,Clinic,0,3,35423.61,1
5411,130,Annotto Bay Police Station,Police Station,0,3,57202.73,1
5412,110,Rose Hall Pump Station,Water Plant,1,5,160209.42,0
5413,125,Spanish Town Parochial Road,Road,1,4,93110.8,0
5414,130,Annotto Bay Clinic,Clinic,0,3,36571.9,0
5415,115,Clarendon Primary School,School,0,3,67144.93,1
5416,129,Port Maria Main Road,Road,1,3,43785.05,1
5417,116,Clarendon Substation,Power Station,1,2,19807.98,0
5418,124,Brown's Town Substation,Power Station,1,3,36362.55,0
5419,130,Annotto Bay Health Centre,Clinic,0,3,68266.07,0
5420,117,Rocky Point Gully Bridge,Bridge,1,3,61557.17,0
5421,118,Mandeville Parochial Road,Road,1,3,66239.54,0
5422,124,Brown's Town Substation,Power Station,1,3,42163.8,0
5423,101,Savanna-la-Mar All-Age School,School,0,3,42247.65,1
5424,103,Little London High School,School,0,4,134870.29,0
5425,122,St.Ann Police Station,Police Station,0,2,28872.36,0
5426,125,Spanish Town Anglican Church,Church,0,3,44886.53,0
5427,132,Highgate Health Centre,Clinic,0,3,35000.41,0
5428,109,St.James Bypass,Road,1,5,256379.88,0
5429,119,Christiana Type 3 Hospital,Hospital,0,3,60527.07,1
5430,120,Alligator Pond Hospital,Hospital,0,2,29837.93,1
5431,138,Port Antonio Anglican Church,Church,0,1,8252.95,1
5432,112,Trelawny High School,School,0,5,287618.32,0
5433,129,Port Maria Main Road,Road,1,3,37745.95,1
5434,107,Lacovia Church of God,Church,0,3,55432.05,1
5435,130,St.Mary Health Centre,Clinic,0,2,27031.08,1
5436,121,St.Ann Primary School,School,0,3,52811.17,0
5437,120,Alligator Pond All-Age School,School,0,2,28944.19,1
5438,142,Yallahs Bypass,Road,1,3,65159.18,1
5439,108,Maggoty River Bridge,Bridge,1,5,449788.03,0
5440,136,Bull Bay Bypass,Road,1,1,12011.7,1
5441,115,Clarendon All-Age School,School,0,2,18260.71,0
5442,117,Rocky Point Baptist Church,Church,0,4,126295.98,0
5443,117,Rocky Point Parochial Road,Road,1,3,59670.49,0
5444,119,Manchester Regional Hospital,Hospital,0,3,52667.85,1
5445,140,Norwich Main Road,Road,1,3,54344.75,0
5446,129,Port Maria Baptist Church,Church,0,4,93203.64,1
5447,118,Mandeville Clinic,Clinic,0,4,119989.93,0
5448,102,Westmoreland Baptist Church,Church,0,5,168142.53,0
5449,126,Old Harbour Main Road,Road,1,3,45737.18,0
